event_date,start_date,end_date,event_time,event_type,address,address2,city,state,zip
2025-12-23,2025-12-23,2025-12-23,4p-6p,Photos with Santa,5858 S Kedzie Ave,,Chicago,IL,60629
2025-12-23,2025-12-23,2025-12-23,4p-6p,Photos with Santa,3217 W 47th Pl,,Chicago,IL,60632
2025-12-24,2025-12-24,2025-12-24,4p-6p,Photos with Santa,3248 W Lawrence Ave,,Chicago,IL,60625
2025-12-24,2025-12-24,2025-12-24,4p-6p,Photos with Santa,229 W Grand Ave,,Bensenville,IL,60106
2025-10-25,2025-10-25,2025-10-25,3p-7p,Halloween Event,Doral Downtown,,Miami,FL,33166
2025-11-01,2025-11-01,2025-11-01,12p-4p,Grand Opening-Powertalk,1674 NW 17 Ave,,Miami,FL,33125
2025-11-01,2025-11-01,2025-11-01,3p-7p,Dia de Los Muertos,Doral Downtown,,Miami,FL,33166
2025-11-08,2025-11-08,2025-11-08,9a-12p,Veterans YMCA,Weston YMCA - 20201 Saddle Club Rd,,Weston,FL,33327
2025-11-22,2025-11-22,2025-11-22,4p - 7p,Holiday Care,1313 W 49th St # 2,,Hialeah,FL,33012
2025-11-29,2025-11-29,2025-11-29,4p - 7p,Spreading Holiday,3965 N Federal Hwy,,Pompano Beach,FL,33064
2025-12-06,2025-12-06,2025-12-06,4p - 7p,Photo with Santa,117 SE 8th Dr,,Okeechobee,FL,34974
2025-12-13,2025-12-13,2025-12-13,4p - 7p,Photo with Santa,6337 Stirling Rd,,Davie,FL,33314
2025-12-20,2025-12-20,2025-12-20,4p - 7p,Photo with Santa,15912 SW 137th Ave,,Miami,FL,33177
2025-11-01,2025-11-01,2025-11-02,4p-7p,Dia de Los Muertos,1000 Bagby St (Sam Houston Park),,Houston,TX,77002
2025-11-08,2025-11-08,2025-11-08,10a-6p,Veterans Day,Civic Park (210 S Alamo Street),,San Antonio,TX,78205
2025-10-25,2025-10-25,2025-10-25,12p-2p,Halloween Event,12843 Harbor Blvd,,Garden Grove,CA,92840
2025-10-31,2025-10-31,2025-10-31,5p-7p,Halloween Event,4000 La Rica Ave,,Baldwin Park,CA,91706
2025-11-02,2025-11-02,2025-11-02,3p-7p,Dia de Los Muertos,Gloria Molina Park (200 N Grand Ave),,Los Angeles,CA,90012
2025-12-06,2025-12-06,2025-12-06,12p-2p,Photos w/Santa,4149 Tweedy Blvd,,South Gate,CA,90280
2025-12-06,2025-12-06,2025-12-06,4p-6p,Photos w/Santa,8116 Long Beach Blvd,,South Gate,CA,90280
2025-12-07,2025-12-07,2025-12-07,12p-2p,Photos w/Santa,1730 E. 17th Street,,Santa Ana,CA,92705
2025-12-07,2025-12-07,2025-12-07,4p-6p,Photos w/Santa,4447 Slauson Ave,,Maywood,CA,90270
2025-12-13,2025-12-13,2025-12-13,12p-2p,Photos w/Santa,576 S. Mount Vernon Ave.,,San Bernadino,CA,92410
2025-12-13,2025-12-13,2025-12-13,4p-6p,Photos w/Santa,10012 Sierra Ave,,Fontana,CA,92335
2025-12-14,2025-12-14,2025-12-14,12p-2p,Photos w/Santa,"1788 University Ave, Ste 104",,Riverside,CA,92507
2025-12-14,2025-12-14,2025-12-14,4p-6p,Photos w/Santa,1405 N. Citrus Ave,,Covina,CA,91722
2025-12-20,2025-12-20,2025-12-20,12p-2p,Photos w/Santa,2530 S. San Pedro Street,,Los Angeles,CA,90011
2025-12-20,2025-12-20,2025-12-20,4p-6p,Photos w/Santa,2238 E. Cesar E Chavez Ave,,Los Angeles,CA,90033
2025-12-21,2025-12-21,2025-12-21,12p-2p,Photos w/Santa,4218 Beverly Blvd,,Los Angeles,CA,90004
2025-12-21,2025-12-21,2025-12-21,4p-6p,Photos w/Santa,1500 E. Florence Ave,,Los Angeles,CA,90001

